,Text
140,RT @MaryForbes14: They will just funnel foreign money through domestic surrogates. That's how their racketeering works. t8twFn
141,@IsaacSpaceman @amywatts Want to know how small the universe is? This happened today: se
142,"@CNNSitRoom @HillaryClinton
In Black Communities Will Become nothing more than SPERM DUMPSTERS. Because? No Man Is Going to tolerate it
Nope"
143,RT @maryam82584: @ElizbethLManess @HillaryClinton @gentlemanirish @KnucklDraginSam @jokesonus4sure lol so true so true lol 
144,When your Grandkid is 20 but you ain't seen it since it was a baby take the present anyway. t
145,Trying to justify Clinton entitlement behavior. Buck NEVER stops with @HillaryClinton.  h3W4jFZbdH
146,RT @vicreyesep: BREAKING: All Pueblo Council of Governors join Ten Southern Pueblos Council &amp;10 Navajo Chapters to endorse @HillaryClinton
147,"RT @Gianluca_1970: Trust me, I had not sent classified 
material nor received anything marked classified @HillaryClinton 
#MAGA #Trump
http"
148,@keprdad GOP r stuck on email Ppl want to hear how u are going to make this country better @RhonUSA @HillaryClinton @MicahGrimes
149,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t"
150,"RT @OpenTheDebates: One person's ""viable"" is another's #unelectablebigot despite billions in free media. 
#LetJillDebate #LetGaryDebate htt"
151,@HillaryClinton says fuck you Louisiana!  I won't go there unless I'm forced.
152,@NRO @HillaryClinton Everyone else is ALWAYS TO BLAME. No respect- really wish she'd go to Liars Anonymous and get some help. Pathetic.
153,"RT @fubaglady: 85% of their $2Billion goes to ""adminstrative costs"" (aka their slush fund), not to charity.  What crooks they are. https://"
154,RT @OutOfTheBlue201: @AlanColmes @HillaryClinton @foxnation Anyone who thinks this isn't an invasion has their head up someones  ass! https
155,"Despite His Book 'Clinton Cash' Author Says There's 'No Direct Evidence' Of Wrongdoing By @HillaryClinton
 #UniteBlue"
156,"Despite His Book 'Clinton Cash' Author Says There's 'No Direct Evidence' Of Wrongdoing By @HillaryClinton
 #UniteBlue"
157,You mean he maintained a work email and a personal email like everyone besides @HillaryClinton  ph6YjDQoUN
158,RT @Ivan226622: Thanks for the mention IdeasN. #bhivechat tnOD7F4M
159,@billclinton @HillaryClinton @timkaine Have a great birthday think First Gentleman thoughts!
160,"RT @AnneRiceAuthor: @HillaryClinton They're saying you've won this election. I can believe it. But I know you'll keep fighting, keeping exp"
161,"RT @commonman80: @CNNSitRoom
Now @HillaryClinton wants to COMPLETELY DESTROY IT By Separating it Completely By Gender? If She Wins? It's Ov"
162,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t"
163,"RT @commonman80: @CNNSitRoom @HillaryClinton
In Black Communities Will Become nothing more than SPERM DUMPSTERS. Because? No Man Is Going t"
164,@OV_Hokie @FoxNews @realDonaldTrump @HillaryClinton Your source that I am wrong?
165,@collegedebate16 comes to Dominican in Sept. for  #youthvote #millennials #issues @HillaryClinton @realDonaldTrump 
166,RT @MyInfogmholland: ONLY THING SHE WOULD LIKE TO DO IS STEAL ANY DONATIONS GOING TO FLOOD VICTIMS 
167,RT @vicreyesep: BREAKING: All Pueblo Council of Governors join Ten Southern Pueblos Council &amp;10 Navajo Chapters to endorse @HillaryClinton
168,"RT @trumpaboard: #Obama Girls PLAY HARD!
Let @POTUS know his daughters know how to get down &amp; dirty! 
RT @HillaryClinton "
169,"Yes! Because Black people say "" YOU BE "" @MichaelScarn420 @Tawnivixen3 @realDonaldTrump @HillaryClinton"
170,@bkellysvd how many more gold star families will we have because of @HillaryClinton? 
171,@HillaryClinton @realDonaldTrump Trump is 4 higher pay rates since day one. Again we see Hillary cant tell the truth folks. Its brain damage
172,"RT @npnikk: Thru campaign cameras have caught @HillaryClinton coughing, wheezing, stumbling, stuttering.  ."
173,RT @RichardGrenell: You are out of touch with people who live paycheck to paycheck. They want to buy USA but it can't be more expensive. ht
174,"Watching @realDonaldTrump MI Speech. Will Get At Least 50% African American Vote This Election

@HillaryClinton @angela_rye @realDonaldTrump"
175,@FoxNews @HillaryClinton @ClintonFdn these scumbags already had them pre-pay.  I pray for them to meet an unfortunate circumstance.
176,@jwellingtonpeev @KatyTurNBC @hale_razor @HillaryClinton How much as Trump donated? He used LA people for a photo of today. He hurt LA today
177,@Bikers4Trump @HillaryClinton @billclinton wonder if he's smoking a cigar today? 
178,@Dustin2008 how many more gold star families will we have because of @HillaryClinton? 
179,@JCTRamblerINC how many more gold star families will we have because of @HillaryClinton? 
180,"Do we put this one in the ""sarcastic"" column or the ""possible unspecified comments I regret"" column? "
181,"RT @USAneedsTRUMP: @HillaryClinton 

You have no room to talk, you donate to your own foundation to avoid paying taxes, hypocrite! https://"
182,@HillaryClinton Go choke on some birthday cake tonight Hillary! We don't want a crook and medically unfit President.
183,"All talk of jobs going to Mexico - none of Trump goods made in Mexico,China,Turkey,Vietnam,etc. @HillaryClinton @timkaine @Lawrence @maddow"
184,"So. He  invites blacks to be racist Too      @realDonaldTrump @HillaryClinton"""
